DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
201110616,06/20/2020 12:00:00 AM,06/20/2020 12:00:00 AM,415,11,Northeast,1181,1,310,BURGLARY,1609 0344 1402 0375,0,X,X,203,OTHER BUSINESS,,,IC,Invest Cont,310,998,,,2500 W  SUNSET                       BL,,"340,808","-1,182,655"
200806183,02/18/2020 12:00:00 AM,02/18/2020 12:00:00 AM,1530,8,West LA,859,1,310,BURGLARY,1822 1609 1403,46,M,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,1600 S  SHERBOURNE                   DR,,"340,498","-1,183,801"
201011954,08/12/2020 12:00:00 AM,08/12/2020 12:00:00 AM,244,10,West Valley,1044,1,310,BURGLARY,0344 1822 0216 1410 0209 1607 0332 0349 1309,50,F,O,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,310,,,,18400    COLLINS                      ST,,"341,749","-1,185,323"
200705055,01/22/2020 12:00:00 AM,01/22/2020 12:00:00 AM,1312,7,Wilshire,738,1,310,BURGLARY,1609,51,M,A,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,600 S  JUNE                         ST,,"34,065","-1,183,344"
200714290,09/26/2020 12:00:00 AM,09/26/2020 12:00:00 AM,130,7,Wilshire,759,1,310,BURGLARY,0358 0329,52,M,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,1100 S  BRONSON                      AV,,"340,495","-1,183,215"
200310333,04/23/2020 12:00:00 AM,04/21/2020 12:00:00 AM,1400,3,Southwest,373,1,310,BURGLARY,0342 0344 1275 1402 1601 1822,49,M,B,501,SINGLE FAMILY DWELLING,,,AO,Adult Other,310,,,,3700    CHERRYWOOD                   AV,,"340,182","-1,183,291"
200516401,11/09/2020 12:00:00 AM,11/08/2020 12:00:00 AM,1430,5,Harbor,525,1,310,BURGLARY,1602 0329 0344 1236,0,X,X,121,YARD (RESIDENTIAL/BUSINESS),,,IC,Invest Cont,310,,,,400 N  NEPTUNE                      AV,,"337,738","-1,182,685"
200118739,09/30/2020 12:00:00 AM,09/29/2020 12:00:00 AM,2230,1,Central,118,1,310,BURGLARY,1822 1420 1606 0344,0,X,X,203,OTHER BUSINESS,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,310,,,,1600    NAUD                         ST,,"340,678","-1,182,283"
200712196,07/30/2020 12:00:00 AM,07/29/2020 12:00:00 AM,1730,7,Wilshire,706,1,310,BURGLARY,1822 0344,40,M,H,707,GARAGE/CARPORT,,,IC,Invest Cont,310,,,,800 N  MCCADDEN                     PL,,"340,853","-1,183,374"
201108546,04/20/2020 12:00:00 AM,04/12/2020 12:00:00 AM,1200,11,Northeast,1132,1,310,BURGLARY,1607 0344,40,F,A,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,310,,,,3900    LOS FELIZ                    BL,,"341,139","-118,277"
200505218,01/29/2020 12:00:00 AM,01/23/2020 12:00:00 AM,1630,5,Harbor,563,1,310,BURGLARY,1602 0344 1601 1275,0,X,X,203,OTHER BUSINESS,,,AA,Adult Arrest,310,,,,1600 S  GAFFEY                       ST,,"337,293","-1,182,924"
200915670,10/08/2020 12:00:00 AM,10/07/2020 12:00:00 AM,2000,9,Van Nuys,961,1,310,BURGLARY,0344 1402,41,F,O,203,OTHER BUSINESS,,,AA,Adult Arrest,310,998,,,15300    MORRISON                     ST,,"341,603","-1,184,661"
200113488,06/16/2020 12:00:00 AM,05/28/2020 12:00:00 AM,1800,1,Central,153,1,310,BURGLARY,0344 1609 1822 2046 1414 0352 0325 0329,58,M,O,201,JEWELRY STORE,,,IC,Invest Cont,310,,,,600 S  BROADWAY,,"340,467","-118,252"
200804353,01/09/2020 12:00:00 AM,01/08/2020 12:00:00 AM,1822,8,West LA,881,1,310,BURGLARY,0344 0397 1420 1414,44,M,H,221,PUBLIC STORAGE,,,IC,Invest Cont,310,,,,11800 W  OLYMPIC                      BL,,"340,332","-1,184,499"
