AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd Desc,Vict Age,Vict Sex,Vict Descent,LOCATION,Cross Street,LAT,LON
3,Southwest,311,1,BURGLARY,64,F,H,5400    GEER                         AV,,"340,298","-1,183,619"
3,Southwest,361,1,BURGLARY,19,X,X,5000    OBAMA                        BL,,"340,171","-1,183,531"
3,Southwest,375,1,BURGLARY,23,F,H,1600 W  38TH                         ST,,"340,174","-1,183,089"
3,Southwest,393,1,BURGLARY,19,X,X,4300    CRENSHAW                     BL,,"340,054","-1,183,338"
3,Southwest,375,1,BURGLARY,69,F,B,1600 W  39TH                         ST,,"340,146","-1,183,089"
3,Southwest,393,1,BURGLARY,19,X,X,3000 W  MARTIN LUTHER KING JR        BL,,"340,109","-1,183,262"
3,Southwest,333,1,BURGLARY,44,F,W,3000    BUCKINGHAM                   RD,,"340,276","-1,183,405"
3,Southwest,315,1,BURGLARY,0,X,X,2600 S  WESTERN                      AV,,"34,034","-1,183,133"
2,Rampart,271,1,BURGLARY,0,M,W,1000 S  ALVARADO                     ST,,"340,529","-1,182,819"
3,Southwest,397,1,BURGLARY,19,X,X,4200 S  VERMONT                      AV,,"340,073","-118,298"
3,Southwest,395,1,BURGLARY,58,F,B,4000    DENKER                       AV,,"340,073","-1,183,108"
3,Southwest,325,1,BURGLARY,19,X,X,1300 W  29TH                         ST,,"340,307","-1,182,923"
3,Southwest,331,1,BURGLARY,28,M,H,2600 S  LONGWOOD                     AV,,"340,325","-1,183,496"
7,Wilshire,725,1,BURGLARY,52,M,W,100 N  VISTA                        ST,,"340,736","-1,183,522"
12,77th Street,1263,1,BURGLARY,73,M,B,7900 S  WESTERN                      AV,,"339,664","-118,309"
3,Southwest,392,1,BURGLARY,19,X,X,3000 W  VERNON                       AV,,"340,037","-1,183,257"
2,Rampart,221,1,BURGLARY,50,M,H,300 N  NEW HAMPSHIRE                AV,,"340,763","-1,182,932"
3,Southwest,353,1,BURGLARY,50,F,B,3600    BUCKINGHAM                   RD,,"340,232","-1,183,404"
3,Southwest,392,1,BURGLARY,19,X,X,5100    CRENSHAW                     BL,,"339,964","-1,183,308"
3,Southwest,311,1,BURGLARY,33,F,W,3300 S  LA CIENEGA                   PL,,"340,289","-1,183,751"
3,Southwest,336,1,BURGLARY,71,F,B,2200 W  30TH                         ST,,"340,274","-1,183,152"
3,Southwest,313,1,BURGLARY,42,F,H,4000    MONTCLAIR                    ST,,"340,333","-1,183,311"
9,Van Nuys,915,1,BURGLARY,0,X,X,7100    VAN NUYS                     BL,,"341,994","-1,184,488"
3,Southwest,318,1,BURGLARY,19,X,X,2200 S  VERMONT                      AV,,"34,036","-1,182,916"
3,Southwest,356,1,BURGLARY,23,F,O,1600 W  35TH                         PL,,"340,237","-1,183,061"
3,Southwest,336,1,BURGLARY,36,F,W,2100 W  31ST                         ST,,"340,265","-118,312"
3,Southwest,336,1,BURGLARY,41,M,H,2100 W  31ST                         ST,,"340,265","-118,312"
11,Northeast,1173,1,BURGLARY,35,M,H,2100    BAXTER                       ST,,"340,915","-118,255"
3,Southwest,361,1,BURGLARY,69,F,B,3900    STEVELY                      AV,,"340,163","-1,183,536"
3,Southwest,399,1,BURGLARY,28,M,H,4100    FLOWER                       ST,,"340,093","-1,182,815"
3,Southwest,341,1,BURGLARY,54,F,B,3700    CARMONA                      AV,,"340,201","-1,183,672"
3,Southwest,343,1,BURGLARY,19,X,X,5100    OBAMA                        BL,,"340,199","-1,183,608"
1,Central,132,1,BURGLARY,39,M,W,200 S  GRAND                        AV,,"340,539","-1,182,503"
3,Southwest,376,1,BURGLARY,32,F,B,3900    BRIGHTON                     AV,,"340,155","-1,183,013"
